customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Country,State,City,ZipCode,LatLong,Latitude,Longitude,ChurnValue,ChurnScore,CLTV,ChurnReason
6865-JZNKO,Female,No,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,United States,California,Los Angeles,90027.0,"34.127194, -118.295647",34.127194,-118.295647,0.0,65.0,2725.0,
6467-CHFZW,Male,No,Yes,Yes,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,United States,California,Los Angeles,90028.0,"34.099869, -118.326843",34.099869,-118.326843,1.0,77.0,5789.0,Competitor had better devices
8665-UTDHZ,Male,No,Yes,Yes,1.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,United States,California,Los Angeles,90029.0,"34.089953, -118.294824",34.089953,-118.294824,1.0,97.0,2915.0,Competitor had better devices
5248-YGIJN,Male,No,Yes,No,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,United States,California,Los Angeles,90031.0,"34.085807, -118.206617",34.085807,-118.206617,0.0,21.0,5974.0,
8773-HHUOZ,Female,No,No,Yes,17.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,United States,California,Los Angeles,90032.0,"34.078821, -118.177576",34.078821,-118.177576,1.0,74.0,3022.0,Competitor offered higher download speeds
3841-NFECX,Female,Yes,Yes,No,71.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,United States,California,Los Angeles,90033.0,"34.050198, -118.210946",34.050198,-118.210946,0.0,38.0,5309.0,
4929-XIHVW,Male,Yes,Yes,No,2.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,United States,California,Los Angeles,90034.0,"34.030578, -118.399613",34.030578,-118.399613,0.0,69.0,4449.0,
6827-IEAUQ,Female,No,Yes,Yes,27.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,United States,California,Los Angeles,90035.0,"34.051809, -118.383843",34.051809,-118.383843,0.0,66.0,3213.0,
7310-EGVHZ,Male,No,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,United States,California,Los Angeles,90036.0,"34.070291, -118.349191",34.070291,-118.349191,0.0,77.0,5526.0,
3413-BMNZE,Male,Yes,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,United States,California,Los Angeles,90037.0,"34.002642, -118.287596",34.002642,-118.287596,0.0,40.0,3144.0,
6234-RAAPL,Female,No,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,United States,California,Los Angeles,90038.0,"34.088017, -118.327168",34.088017,-118.327168,0.0,79.0,5915.0,
6047-YHPVI,Male,No,No,No,5.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,United States,California,Los Angeles,90039.0,"34.110845, -118.259595",34.110845,-118.259595,1.0,66.0,2454.0,Competitor offered higher download speeds
6572-ADKRS,Female,No,No,No,46.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,United States,California,Los Angeles,90040.0,"33.994524, -118.149953",33.994524,-118.149953,0.0,41.0,3395.0,
5380-WJKOV,Male,No,No,No,34.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,United States,California,Los Angeles,90041.0,"34.137412, -118.207607",34.137412,-118.207607,1.0,65.0,2941.0,Competitor offered higher download speeds
8168-UQWWF,Female,No,No,No,11.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,United States,California,Los Angeles,90042.0,"34.11572, -118.192754",34.11572,-118.192754,1.0,70.0,5674.0,Competitor offered more data
8865-TNMNX,Male,No,Yes,Yes,10.0,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,United States,California,Los Angeles,90043.0,"33.988543, -118.334081",33.988543,-118.334081,0.0,22.0,2392.0,
9489-DEDVP,Female,No,Yes,Yes,70.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,United States,California,Los Angeles,90044.0,"33.952714, -118.292061",33.952714,-118.292061,0.0,25.0,4715.0,
9867-JCZSP,Female,No,Yes,Yes,17.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,United States,California,Los Angeles,90045.0,"33.954017, -118.402447",33.954017,-118.402447,0.0,64.0,3646.0,
4671-VJLCL,Female,No,No,No,63.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,United States,California,Los Angeles,90046.0,"34.108455, -118.362081",34.108455,-118.362081,0.0,70.0,4595.0,
4080-IIARD,Female,No,Yes,No,13.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,United States,California,Los Angeles,90047.0,"33.958149, -118.308441",33.958149,-118.308441,0.0,41.0,2569.0,
3714-NTNFO,Female,No,No,No,49.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,United States,California,Los Angeles,90048.0,"34.072945, -118.37267",34.072945,-118.37267,0.0,71.0,6434.0,
5948-UJZLF,Male,No,No,No,2.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,United States,California,Los Angeles,90049.0,"34.091829, -118.491244",34.091829,-118.491244,0.0,57.0,3805.0,
7760-OYPDY,Female,No,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,United States,California,Los Angeles,90056.0,"33.987945, -118.370442",33.987945,-118.370442,1.0,90.0,5586.0,Competitor offered more data
7639-LIAYI,Male,No,No,No,52.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,United States,California,Los Angeles,90057.0,"34.061918, -118.277939",34.061918,-118.277939,0.0,49.0,4142.0,
2954-PIBKO,Female,No,Yes,Yes,69.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,United States,California,Los Angeles,90058.0,"34.001617, -118.222274",34.001617,-118.222274,0.0,62.0,5128.0,
8012-SOUDQ,Female,Yes,No,No,43.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,United States,California,Los Angeles,90059.0,"33.927254, -118.249826",33.927254,-118.249826,0.0,52.0,2223.0,
9420-LOJKX,Female,No,No,No,15.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,United States,California,Los Angeles,90061.0,"33.92128, -118.274186",33.92128,-118.274186,1.0,82.0,2966.0,Competitor offered more data
6575-SUVOI,Female,Yes,Yes,No,25.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,United States,California,Los Angeles,90062.0,"34.003553, -118.308933",34.003553,-118.308933,0.0,25.0,3154.0,
7495-OOKFY,Female,Yes,Yes,No,8.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,United States,California,Los Angeles,90063.0,"34.044271, -118.185237",34.044271,-118.185237,1.0,69.0,5302.0,Competitor made better offer
4667-QONEA,Female,Yes,Yes,Yes,60.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,United States,California,Los Angeles,90064.0,"34.037251, -118.423573",34.037251,-118.423573,0.0,59.0,5153.0,
1658-BYGOY,Male,Yes,No,No,18.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,United States,California,Los Angeles,90065.0,"34.108833, -118.229715",34.108833,-118.229715,1.0,81.0,3179.0,Competitor made better offer
8769-KKTPH,Female,No,Yes,Yes,63.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,United States,California,Los Angeles,90066.0,"34.002028, -118.430656",34.002028,-118.430656,0.0,79.0,4572.0,
5067-XJQFU,Male,Yes,Yes,Yes,66.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,United States,California,Los Angeles,90067.0,"34.057496, -118.413959",34.057496,-118.413959,0.0,74.0,4582.0,
3957-SQXML,Female,No,Yes,Yes,34.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,United States,California,Los Angeles,90068.0,"34.137411, -118.328915",34.137411,-118.328915,0.0,62.0,5408.0,
5954-BDFSG,Female,No,No,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,United States,California,West Hollywood,90069.0,"34.093781, -118.381061",34.093781,-118.381061,0.0,53.0,4708.0,
0434-CSFON,Female,No,Yes,No,47.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,United States,California,Los Angeles,90071.0,"34.052917, -118.255178",34.052917,-118.255178,0.0,70.0,4488.0,
1215-FIGMP,Male,No,No,No,60.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,United States,California,Los Angeles,90077.0,"34.102084, -118.451629",34.102084,-118.451629,0.0,35.0,6292.0,
0526-SXDJP,Male,No,Yes,No,72.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,United States,California,Bell,90201.0,"33.970343, -118.171368",33.970343,-118.171368,0.0,29.0,6091.0,
0557-ASKVU,Female,No,Yes,Yes,18.0,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,United States,California,Beverly Hills,90210.0,"34.099891, -118.414338",34.099891,-118.414338,0.0,33.0,4948.0,
5698-BQJOH,Female,No,No,No,9.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,United States,California,Beverly Hills,90211.0,"34.063947, -118.383001",34.063947,-118.383001,1.0,96.0,5571.0,Price too high
5122-CYFXA,Female,No,No,No,3.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,United States,California,Beverly Hills,90212.0,"34.062095, -118.401508",34.062095,-118.401508,0.0,35.0,5387.0,
8627-ZYGSZ,Male,No,Yes,No,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,United States,California,Compton,90220.0,"33.88151, -118.234451",33.88151,-118.234451,0.0,61.0,3817.0,
3410-YOQBQ,Female,No,No,No,31.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,United States,California,Compton,90221.0,"33.885811, -118.206459",33.885811,-118.206459,0.0,78.0,4984.0,
3170-NMYVV,Female,No,Yes,Yes,50.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,United States,California,Compton,90222.0,"33.912246, -118.236773",33.912246,-118.236773,0.0,20.0,5849.0,
7410-OIEDU,Male,No,No,No,10.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,United States,California,Culver City,90230.0,"33.993991, -118.39704",33.993991,-118.39704,0.0,38.0,5983.0,
2273-QCKXA,Male,No,No,No,1.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,United States,California,Culver City,90232.0,"34.019323, -118.391902",34.019323,-118.391902,0.0,30.0,3178.0,
0731-EBJQB,Female,No,Yes,Yes,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,United States,California,Downey,90240.0,"33.956228, -118.120993",33.956228,-118.120993,0.0,26.0,5482.0,
1891-QRQSA,Male,Yes,Yes,Yes,64.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,United States,California,Downey,90241.0,"33.940884, -118.128628",33.940884,-118.128628,0.0,69.0,4881.0,
8028-PNXHQ,Male,No,Yes,Yes,62.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,United States,California,Downey,90242.0,"33.921793, -118.140588",33.921793,-118.140588,0.0,33.0,4444.0,
5630-AHZIL,Female,No,No,Yes,3.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,United States,California,El Segundo,90245.0,"33.917145, -118.401554",33.917145,-118.401554,0.0,54.0,5613.0,
2673-CXQEU,Female,Yes,No,No,56.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,United States,California,Gardena,90247.0,"33.890853, -118.297967",33.890853,-118.297967,0.0,21.0,4463.0,
6416-JNVRK,Female,No,No,No,46.0,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,United States,California,Gardena,90248.0,"33.876482, -118.284077",33.876482,-118.284077,0.0,56.0,2867.0,
5590-ZSKRV,Female,No,Yes,Yes,8.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,United States,California,Gardena,90249.0,"33.90139, -118.315697",33.90139,-118.315697,0.0,43.0,5614.0,
0191-ZHSKZ,Male,Yes,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,United States,California,Hawthorne,90250.0,"33.914775, -118.348083",33.914775,-118.348083,0.0,55.0,3033.0,
3887-PBQAO,Female,No,Yes,Yes,45.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,United States,California,Hermosa Beach,90254.0,"33.86532, -118.396336",33.86532,-118.396336,0.0,78.0,5741.0,
5919-TMRGD,Female,No,No,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,United States,California,Huntington Park,90255.0,"33.97803, -118.217141",33.97803,-118.217141,1.0,87.0,2483.0,Product dissatisfaction
8108-UXRQN,Female,No,Yes,Yes,11.0,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,United States,California,Lawndale,90260.0,"33.88856, -118.351813",33.88856,-118.351813,0.0,28.0,3443.0,
9191-MYQKX,Female,No,Yes,No,7.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,United States,California,Lynwood,90262.0,"33.923573, -118.200669",33.923573,-118.200669,1.0,70.0,3457.0,Service dissatisfaction
9919-YLNNG,Female,No,No,No,42.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,United States,California,Malibu,90263.0,"34.037037, -118.705803",34.037037,-118.705803,0.0,37.0,4005.0,
0318-ZOPWS,Female,No,Yes,No,49.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,United States,California,Malibu,90265.0,"34.074572, -118.831181",34.074572,-118.831181,0.0,37.0,5422.0,
4445-ZJNMU,Male,No,No,No,9.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,United States,California,Manhattan Beach,90266.0,"33.889632, -118.39737",33.889632,-118.39737,0.0,69.0,3540.0,
4808-YNLEU,Female,No,Yes,No,35.0,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,United States,California,Maywood,90270.0,"33.988572, -118.186565",33.988572,-118.186565,0.0,39.0,5255.0,
1862-QRWPE,Female,No,Yes,Yes,48.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,United States,California,Pacific Palisades,90272.0,"34.079449, -118.548306",34.079449,-118.548306,0.0,25.0,4124.0,
2796-NNUFI,Female,No,Yes,Yes,46.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,United States,California,Palos Verdes Peninsula,90274.0,"33.788208, -118.404955",33.788208,-118.404955,0.0,80.0,5480.0,
3016-KSVCP,Male,No,Yes,No,29.0,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,United States,California,Rancho Palos Verdes,90275.0,"33.753146, -118.367459",33.753146,-118.367459,0.0,62.0,3664.0,
4767-HZZHQ,Male,No,Yes,Yes,30.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,United States,California,Redondo Beach,90277.0,"33.830453, -118.384565",33.830453,-118.384565,0.0,9.0,5036.0,
2424-WVHPL,Male,Yes,No,No,1.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,United States,California,Redondo Beach,90278.0,"33.873395, -118.37019",33.873395,-118.37019,0.0,60.0,4182.0,
7233-PAHHL,Male,No,Yes,Yes,66.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,United States,California,South Gate,90280.0,"33.944624, -118.192615",33.944624,-118.192615,0.0,24.0,5825.0,
6067-NGCEU,Female,No,No,No,65.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,United States,California,Topanga,90290.0,"34.115192, -118.61017",34.115192,-118.61017,0.0,38.0,5261.0,
9848-JQJTX,Male,No,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,United States,California,Venice,90291.0,"33.991782, -118.479229",33.991782,-118.479229,0.0,54.0,5781.0,
8637-XJIVR,Female,No,No,No,12.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,United States,California,Marina Del Rey,90292.0,"33.977468, -118.445475",33.977468,-118.445475,1.0,86.0,5806.0,Lack of self-service on Website
9803-FTJCG,Male,No,Yes,Yes,71.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,United States,California,Playa Del Rey,90293.0,"33.947305, -118.439841",33.947305,-118.439841,0.0,26.0,4117.0,
0278-YXOOG,Male,No,No,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,United States,California,Inglewood,90301.0,"33.956445, -118.358634",33.956445,-118.358634,1.0,66.0,2604.0,Network reliability
